745,Crispus Attucks,Crispus Attucks Medical Magnet HS,1140 Dr M Luther King Jr St,Indianapolis,46202,46202-2296
742,Rushville Consolidated,Rushville Consolidated High School,1201 Lions Path,Rushville,46173,46173-1197
742,Washington,Washington High School,608 E Walnut St,Washington,47501,47501-2898
734,West Lafayette,West Lafayette Jr/Sr High School,1105 N Grant St,West Lafayette,47906,47906-2400
733,Batesville,Batesville High School,One Bulldog Blvd,Batesville,47006,47006-9168
728,Hamilton Heights,Hamilton Heights High School,25802 SR 19,Arcadia,46030,46030-0379
723,West Noble,West Noble High School,5094 N US 33,Ligonier,46767,46767-9627
716,Corydon Central,Corydon Central High School,375 Country Club Rd,Corydon,47112,47112-8407
716,Vincennes Lincoln,Vincennes Lincoln High School  ,1545 S. Hart St.,Vincennes,47591,47591
707,Charlestown Senior,Charlestown Senior High School,1 Pirate Pl,Charlestown,47111,47111-1699
702,Crawfordsville Sr,Crawfordsville Sr High School,One Athenian Dr,Crawfordsville,47933,47933-2830
700,Bishop Chatard,Bishop Chatard High School,5885 N Crittenden Ave,Indianapolis,46220,46220-2840
696,Emmerich Manual,Emmerich Manual High School,2405 Madison Ave,Indianapolis,46225,46225-2106
696,Indianapolis Northwest,Indianapolis Northwest High School  ,5525 W. 34th St.,Indianapolis,46224,46224
691,Bellmont Senior,Bellmont Senior High School,1000 North Adams Dr,Decatur,46733,46733-2740
690,Evansville Reitz,Evansville Reitz Memorial High School ,1500 Lincoln Ave.,Evansville,47714,47714
689,North Harrison,North Harrison Middle School,1180 Hwy 64 NW,Ramsey,47166,47166-0000
688,Mishawaka Marian,Mishawaka Marian High School  ,1311 S. Logan St.,Mishawaka,46544,46544
680,21st Century Charter - Gary,Hanover Central Middle School,10631 W 141st St,Cedar Lake,46303,46303-0000
666,Maconaquah,Maconaquah High School   ,256 E. 800 S.,Bunker Hill,46914,46914
664,Calumet,Calumet High School   ,3900 Calhoun St.,Gary,46408,46408
659,Peru,Peru High School,401 N Broadway,Peru,46970,46970-1447
658,Mount Vernon,Mount Vernon High School,700 Harriett St,Mount Vernon,47620,47620-2098
657,Brown County,Brown County Intermediate School,260 School House Ln PO Box 157,Nashville,47448,47448-0000
654,Gibson Southern,Gibson Southern High School,3499 W 800 S,Fort Branch,47648,47648-9776
635,Broad Ripple,Broad Ripple Mgnt HS for Prfm Arts,1115 Broad Ripple Ave,Indianapolis,46220,46220-2098
631,Indian Creek,Indian Creek Elementary School,1002 S Indian Creek Dr,Trafalgar,46181,46181-0068
624,Tri-West Senior,Tri-West Senior High School,7883 N SR 39,Lizton,46149,46149-0010
620,North Montgomery,North Montgomery High School,5945 US 231 N,Crawfordsville,47933,47933-9806
619,Lawrenceburg,Lawrenceburg High School,100 Tiger Blvd,Lawrenceburg,47025,47025-1694
619,Heritage Hills,Heritage Hills High School,3644 E CR 1600 N,Lincoln City,47552,47552-0301
618,Princeton Comm,Princeton Comm Intermediate School,1104 N Embree St,Princeton,47670,47670
617,Bishop Luers,Bishop Luers High School,333 E Paulding Rd,Fort Wayne,46816,46816-3599
605,Jimtown,Jimtown High School,59021 CR 3 S,Elkhart,46517,46517-9509
596,Heritage,Heritage Jr/Sr High School,13608 Monroeville Rd,Monroeville,46773,46773-9557
595,Tippecanoe Valley,Tippecanoe Valley High School,8345 S SR 19,Akron,46910,46910-0000
591,Sullivan,Sullivan High School,902 N Section,Sullivan,47882,47882-1125
590,Garrett,Garrett High School,801 E Houston St,Garrett,46738,46738-1662
588,Pike Central,Pike Central High School,1810 E SR 56,Petersburg,47567,47567-8378
585,Medora,Benton Central Jr-Sr High School,4241 E 300 S,Oxford,47971,47971-8633
584,Knox Community,Knox Community High School,1 Redskin Trl,Knox,46534,46534-2224
580,John Glenn,John Glenn High School,201 John Glenn Dr,Walkerton,46574,46574-1498
577,Brownstown Central,Brownstown Central Middle School,520 W Walnut St,Brownstown,47220,47220-1839
577,Lakeland,Lakeland High School,0805 E 075 N,LaGrange,46761,46761-9805
577,West Vigo,West Vigo High School,4590 W Sarah Myers Dr,West Terre Haute,47885,47885-9578
573,Salem,Salem High School,700 N Harrison St,Salem,47167,47167-1684
565,Fairfield,Fairfield Jr-Sr High School,67530 US 33,Goshen,46526,46526-6999
563,Cardinal Ritter,Cardinal Ritter High School,3360 W 30th St,Indianapolis,46222,46222-2139
562,Northwestern Senior,Northwestern Senior High School,3431 N 400 W,Kokomo,46901,46901-9108
560,Gary Lighthouse,Gary Lighthouse Charter School,725 Clark Road,Gary,46406,46406-0000
